GEO_ID,NAME,POPULATION,BELOW_POVERTY,POVERTY_RATE
1400000US21111012004,Census Tract 120.04; Jefferson County; Kentucky,2051,660,32.2
1400000US21111012005,Census Tract 120.05; Jefferson County; Kentucky,4724,809,17.1
1400000US21111012103,Census Tract 121.03; Jefferson County; Kentucky,4076,298,7.3
1400000US21111012104,Census Tract 121.04; Jefferson County; Kentucky,4534,911,20.1
1400000US21111012105,Census Tract 121.05; Jefferson County; Kentucky,4795,392,8.2
1400000US21111012107,Census Tract 121.07; Jefferson County; Kentucky,5382,953,17.7
1400000US21111012108,Census Tract 121.08; Jefferson County; Kentucky,2070,474,22.9
1400000US21111012109,Census Tract 121.09; Jefferson County; Kentucky,4814,289,6.0
1400000US21111012203,Census Tract 122.03; Jefferson County; Kentucky,5975,722,12.1
1400000US21111012204,Census Tract 122.04; Jefferson County; Kentucky,5683,684,12.0
1400000US21111012205,Census Tract 122.05; Jefferson County; Kentucky,1841,181,9.8
1400000US21111012206,Census Tract 122.06; Jefferson County; Kentucky,5332,341,6.4
1400000US21111012301,Census Tract 123.01; Jefferson County; Kentucky,3833,337,8.8
1400000US21111012302,Census Tract 123.02; Jefferson County; Kentucky,4632,588,12.7
1400000US21111012406,Census Tract 124.06; Jefferson County; Kentucky,6230,994,16.0
1400000US21111012407,Census Tract 124.07; Jefferson County; Kentucky,5380,410,7.6
1400000US21111012408,Census Tract 124.08; Jefferson County; Kentucky,2370,318,13.4
1400000US21111012409,Census Tract 124.09; Jefferson County; Kentucky,3415,245,7.2
1400000US21111012410,Census Tract 124.10; Jefferson County; Kentucky,4367,454,10.4
1400000US21111012412,Census Tract 124.12; Jefferson County; Kentucky,3055,439,14.4
1400000US21111012413,Census Tract 124.13; Jefferson County; Kentucky,3811,1153,30.3
1400000US21111012501,Census Tract 125.01; Jefferson County; Kentucky,2160,458,21.2
1400000US21111012502,Census Tract 125.02; Jefferson County; Kentucky,4425,1129,25.5
1400000US21111012503,Census Tract 125.03; Jefferson County; Kentucky,3504,486,13.9
1400000US21111012603,Census Tract 126.03; Jefferson County; Kentucky,3388,318,9.4
1400000US21111012604,Census Tract 126.04; Jefferson County; Kentucky,6523,433,6.6
1400000US21111012605,Census Tract 126.05; Jefferson County; Kentucky,3549,670,18.9
1400000US21111012606,Census Tract 126.06; Jefferson County; Kentucky,3838,395,10.3
1400000US21111012701,Census Tract 127.01; Jefferson County; Kentucky,4021,1624,40.4
1400000US21111012702,Census Tract 127.02; Jefferson County; Kentucky,2162,541,25.0
1400000US21111012703,Census Tract 127.03; Jefferson County; Kentucky,5922,782,13.2
1400000US21111012801,Census Tract 128.01; Jefferson County; Kentucky,2433,511,21.0
1400000US21111012802,Census Tract 128.02; Jefferson County; Kentucky,2646,734,27.7
1400000US21111013100,Census Tract 131; Jefferson County; Kentucky,1066,44,4.1
1400000US21111980100,Census Tract 9801; Jefferson County; Kentucky,0,0,-
