ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD
2024-12-18 05:00:00,"747 S 5TH ST, 23",LOUISVILLE,40203,38.2445199,-85.76017378,4.0,
2024-12-18 05:00:00,14100 MARLEY PL,LOUISVILLE,40245,38.23415279,-85.48938483,11.0,
2024-12-18 05:00:00,5520 INNWOOD DR,LOUISVILLE,40214,38.14637121,-85.77788754,25.0,
2024-12-18 05:00:00,7406 WOODHILL VALLEY RD,LOUISVILLE,40241,38.31741035,-85.6277657,16.0,
2024-12-18 05:00:00,16900 ASH HILL DR,LOUISVILLE,40245,38.23183295,-85.44110794,11.0,
2024-12-18 05:00:00,3019 JOAN AVE,LOUISVILLE,40205,38.22064411,-85.65586386,8.0,
2024-12-18 05:00:00,317 N 30TH ST,LOUISVILLE,40212,38.26481053,-85.79983631,5.0,
2024-12-18 05:00:00,5743 MALDON DR,LOUISVILLE,40216,38.1732005,-85.8636772,1.0,
2024-12-17 05:00:00,7804 KENHURST DR,LOUISVILLE,40258,38.13892928,-85.87785353,14.0,
2024-12-17 05:00:00,6808 FENWAY RD,LOUISVILLE,40258,38.13368377,-85.87755446,14.0,
2024-12-17 05:00:00,10300 GOING CT,LOUISVILLE,40241,38.31039219,-85.55982679,17.0,
2024-12-17 05:00:00,6832 FENWAY RD,LOUISVILLE,40258,38.13262476,-85.87836484,14.0,
2024-12-17 05:00:00,100 DECLARATION DR,LOUISVILLE,40214,38.14482013,-85.77006284,13.0,
2024-12-17 05:00:00,6303 SYDNEY RENEE WAY,LOUISVILLE,40272,38.07992315,-85.87701224,14.0,
2024-12-17 05:00:00,17000 PITON WAY,LOUISVILLE,40245,38.26675668,-85.43385489,19.0,
2024-12-17 05:00:00,17404 BRANCHSIDE PL,LOUISVILLE,40245,38.26460259,-85.44257897,19.0,
2024-12-17 05:00:00,14201 WOODLAND RIDGE DR,LOUISVILLE,40245,38.25318934,-85.49096738,19.0,
2024-12-17 05:00:00,7901 RIDGE PARK CT,LOUISVILLE,40258,38.14023643,-85.87549113,14.0,
2024-12-17 05:00:00,7904 RIDGE PARK CT,LOUISVILLE,40258,38.14002952,-85.87605247,14.0,
2024-12-17 05:00:00,600 TERMINAL DR,LOUISVILLE,40209,38.18616066,-85.7416372,21.0,
2024-12-17 05:00:00,7702 HERMITS RUN RD,LOUISVILLE,40291,38.1324263,-85.57017681,22.0,
2024-12-17 05:00:00,10203 BACK RUN RD,LOUISVILLE,40299,38.10818206,-85.5222766,20.0,
2024-12-17 05:00:00,1729 MCCLOSKEY AVE,LOUISVILLE,40210,38.22459104,-85.78722832,6.0,
2024-12-17 05:00:00,1523 BICKNELL AVE,LOUISVILLE,40215,38.18385557,-85.78937625,15.0,
2024-12-17 05:00:00,2100 OSAGE AVE,LOUISVILLE,40210,38.23902297,-85.78848786,4.0,
2024-12-17 05:00:00,2112 DOGOON DR,LYNDON,40223,38.27581382,-85.56959645,17.0,
2024-12-17 05:00:00,1534 GLENGARRY DR,LOUISVILLE,40118,38.1212542,-85.74220336,13.0,
