,ISSUE_DATE,ADDRESS,CITY,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD,geometry,index_right,FID,OBJECTID,NH_CODE,NH_NAME,SHAPE_AREA,SHAPE_LEN,Shape__Are,Shape__Len
10701,2024-12-23 05:00:00,255 KENOAK DR,LOUISVILLE,40214,38.16623805,-85.77338181,21.0,IROQUOIS,POINT (-85.77338181 38.16623805),87.0,88.0,88.0,40.0,IROQUOIS,11842680.5471,13812.6910067,1782853.48828125,5360.83816734473
10702,2024-12-23 05:00:00,8906 FOX CHASE PL,LOUISVILLE,40228,38.11626797,-85.61003134,23.0,,POINT (-85.61003134 38.11626797),,,,,,,,,
10703,2024-12-23 05:00:00,2300 MANCHESTER RD,WELLINGTON,40205,38.21671714,-85.67204471,8.0,,POINT (-85.67204471 38.21671714),58.0,59.0,59.0,0.0,,2496403.48242,8069.49422422,376331.69140625,3132.25201841449
10704,2024-12-23 05:00:00,3540 VERMONT AVE,LOUISVILLE,40211,38.25576569,-85.81100086,5.0,SHAWNEE,POINT (-85.81100086 38.25576569),2.0,3.0,3.0,62.0,SHAWNEE,59953850.1745,34088.0570548,9049049.28515625,13244.602998434
10705,2024-12-23 05:00:00,5933 ASHWOOD BLUFF DR,LOUISVILLE,40207,38.282838,-85.64076797,16.0,,POINT (-85.64076797 38.282838),,,,,,,,,
10706,2024-12-23 05:00:00,8512 BAYOU WAY,PLANTATION,40242,38.283945,-85.59448036,7.0,,POINT (-85.59448036 38.283945),,,,,,,,,
10707,2024-12-23 05:00:00,"5505 LODEMA WAY, 5",LOUISVILLE,40219,38.16977456,-85.68509609,2.0,,POINT (-85.68509609 38.16977456),,,,,,,,,
10708,2024-12-23 05:00:00,3340 HIDDEN LAKE CT,LOUISVILLE,40023,38.18813036,-85.44219718,20.0,,POINT (-85.44219718 38.18813036),,,,,,,,,
10709,2024-12-22 05:00:00,2011 W BURNETT AVE,LOUISVILLE,40210,38.2306684,-85.7913997,6.0,PARK HILL,POINT (-85.7913997 38.2306684),29.0,30.0,30.0,49.0,PARK HILL,27999518.5955,23853.7955754,4222750.15625,9254.97217601144
10710,2024-12-20 05:00:00,6840 DIXIE HWY,LOUISVILLE,40258,38.1519916,-85.83910003,12.0,,POINT (-85.83910003 38.1519916),,,,,,,,,
10711,2024-12-20 05:00:00,6001 BOWMONT CT,LOUISVILLE,40216,38.16676096,-85.84898242,12.0,,POINT (-85.84898242 38.16676096),,,,,,,,,
10712,2024-12-20 05:00:00,10708 ENGLISH OAK CT,LOUISVILLE,40241,38.30676345,-85.55034101,17.0,,POINT (-85.55034101 38.30676345),,,,,,,,,
10713,2024-12-20 05:00:00,937 HESS LN,LOUISVILLE,40217,38.20631887,-85.73421185,10.0,AUDUBON,POINT (-85.73421185 38.20631887),57.0,58.0,58.0,3.0,AUDUBON,17327246.4621,22516.1622417,2611728.84375,8742.41704030239
10714,2024-12-20 05:00:00,422 BRECKENRIDGE LN,ST MATTHEWS,40207,38.24549946,-85.64973885,9.0,,POINT (-85.64973885 38.24549946),,,,,,,,,
10715,2024-12-20 05:00:00,3028 POPLAR LEVEL RD,LOUISVILLE,40217,38.21232728,-85.72202213,10.0,AUDUBON,POINT (-85.72202213 38.21232728),57.0,58.0,58.0,3.0,AUDUBON,17327246.4621,22516.1622417,2611728.84375,8742.41704030239
10716,2024-12-20 05:00:00,2425 UNIVERSAL WAY,LOUISVILLE,40219,38.13247484,-85.72293074,13.0,,POINT (-85.72293074 38.13247484),,,,,,,,,
10717,2024-12-20 05:00:00,10300 BALLARDSVILLE RD,LOUISVILLE,40241,38.3140375,-85.55875584,17.0,,POINT (-85.55875584 38.3140375),,,,,,,,,
10718,2024-12-20 05:00:00,8200 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24410775,-85.6068146,18.0,REMAINDER OF CITY,POINT (-85.6068146 38.24410775),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10719,2024-12-20 05:00:00,204 HOFFMAN LN,LOUISVILLE,40222,38.24478957,-85.60645617,18.0,REMAINDER OF CITY,POINT (-85.60645617 38.24478957),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10720,2024-12-20 05:00:00,"206 PARADISE LN, 22",LOUISVILLE,40258,38.13806445,-85.87214125,14.0,,POINT (-85.87214125 38.13806445),,,,,,,,,
10721,2024-12-20 05:00:00,1475 S 15TH ST,LOUISVILLE,40210,38.22880381,-85.77971609,6.0,PARK HILL,POINT (-85.77971609 38.22880381),29.0,30.0,30.0,49.0,PARK HILL,27999518.5955,23853.7955754,4222750.15625,9254.97217601144
10722,2024-12-20 05:00:00,12121 SHELBYVILLE RD,MIDDLETOWN,40243,38.24798269,-85.52828592,17.0,,POINT (-85.52828592 38.24798269),,,,,,,,,
10723,2024-12-20 05:00:00,1031 ZORN AVE,LOUISVILLE,40207,38.27701933,-85.6958886,9.0,REMAINDER OF CITY,POINT (-85.6958886 38.27701933),0.0,1.0,1.0,99.0,REMAINDER OF CITY,25583328.3243,23718.3236902,3862566.65234375,9212.87810960147
10724,2024-12-20 05:00:00,8206 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24364305,-85.60574111,18.0,REMAINDER OF CITY,POINT (-85.60574111 38.24364305),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
10725,2024-12-20 05:00:00,8204 ARDEN OXMOOR LN,LOUISVILLE,40222,38.24368075,-85.60631165,18.0,REMAINDER OF CITY,POINT (-85.60631165 38.24368075),18.0,19.0,19.0,99.0,REMAINDER OF CITY,31489521.5197,29402.8597753,4750160.50390625,11417.265736898
